Volvo FH,"$ 27 000
                                                                                                                             2 326 320 сом","<div class=""thumb-item-carousel"" data-count=""5"">
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//9/1/a/91a64cc9bbd3ae459d1d23af555cdd28_240x180.jpg"" title="""">
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//5/7/b/57b7540efc23dc67548934ced2138e75_240x180.jpg"" title=""""/>
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//4/a/3/4a3cb88396e3d135f69d004636d909a3_240x180.jpg"" title=""""/>
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//2/e/7/2e7e419342e11ca848b3b8966c6845f3_240x180.jpg"" title=""""/>
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//6/b/0/6b03b4eaf842b4ed97b25e18f8bb491f_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </img></div>"
DAF XF95 series,"$ 19 500
                                                                                                                             1 680 120 сом","<div class=""thumb-item-carousel"" data-count=""3"">
<img alt=""Фото авто DAF XF95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//f/8/d/f8dc655d8d7b87f8ac7abe1ea1c25dbb_240x180.jpg"" title="""">
<img alt=""Фото авто DAF XF95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//d/9/9/d9989c6b3daf7234cba3aa5b0701cbd7_240x180.jpg"" title=""""/>
<img alt=""Фото авто DAF XF95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//6/b/e/6be8043292d2827d010000331444ced4_240x180.jpg"" title=""""/>
<div class=""order-label right-video""></div>
<div class=""dealer-placeholder""></div> </img></div>"
Volvo FH,"$ 80 000
                                                                                                                             6 892 800 сом","<div class=""thumb-item-carousel"" data-count=""5"">
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//2/b/9/2b9e9ad8da9c01f80154d4d78a4de32f_240x180.jpg"" title="""">
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//d/7/d/d7da870e48853a6375b32857c2242a5f_240x180.jpg"" title=""""/>
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//9/f/3/9f3d4f3dc58723dc8155f87cd817e2d3_240x180.jpg"" title=""""/>
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//a/c/1/ac1de9861d0ba6ff04729bbcf9b1959a_240x180.jpg"" title=""""/>
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//8/b/0/8b01ca79bb6e28396406a1a0a7862ba2_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </img></div>"
Volvo FH,"$ 47 000
                                                                                                                             4 049 520 сом","<div class=""thumb-item-carousel"" data-count=""18"">
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//a/3/8/a38475c2909972317781c751c37e48f2_240x180.jpg"" title=""""/>
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//0/7/a/07afe921ecd5ad0960a5ba972b1bb9cc_240x180.jpg"" title=""""/>
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//9/9/4/9943825fb7136f7fa39409570141fb09_240x180.jpg"" title=""""/>
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//d/8/f/d8f3680398d1560fb2455e13d28310b2_240x180.jpg"" title=""""/>
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//0/e/4/0e4d7b09546946c50c3dd35c0fdf233c_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
Howo ZZ4187N3511V,"$ 16 000
                                                                                                                             1 378 560 сом","<div class=""thumb-item-carousel"" data-count=""12"">
<img alt=""Фото авто Howo ZZ4187N3511V"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//6/8/1/681be4513c5bbada44e7fe934c084a6c_240x180.jpg"" title=""""/>
<img alt=""Фото авто Howo ZZ4187N3511V"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//8/c/e/8cea58c7dbd7ee3ccbd279619373759a_240x180.jpg"" title=""""/>
<img alt=""Фото авто Howo ZZ4187N3511V"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//9/8/5/98546f964796ae29917fa585403e46ea_240x180.jpg"" title=""""/>
<img alt=""Фото авто Howo ZZ4187N3511V"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//4/9/5/49537e28195a7b791af808f5844c4586_240x180.jpg"" title=""""/>
<img alt=""Фото авто Howo ZZ4187N3511V"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//4/3/a/43a64e4b248261d78701263aceec23d4_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
Volvo FH,"$ 62 000
                                                                                                                             5 341 920 сом","<div class=""thumb-item-carousel"" data-count=""5"">
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//c/d/1/cd12fd362637f71f88b8d604ef0bc397_240x180.jpg"" title=""""/>
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//a/d/b/adbc1ec0fb5428b89cb149e70f7c9dcc_240x180.jpg"" title=""""/>
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//1/8/d/18dc292abde20b67f525cbacabf9bf74_240x180.jpg"" title=""""/>
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//2/2/e/22e534ceea30e88053881ac0090e1310_240x180.jpg"" title=""""/>
<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//5/2/f/52f7ab0efbb9d1a8d122ac15d4436889_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
DAF 95 series,"$ 18 500
                                                                                                                             1 593 960 сом","<div class=""thumb-item-carousel"" data-count=""11"">
<img alt=""Фото авто DAF 95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//a/b/f/abfcd2881d98ceede403d07fc4d68ae3_240x180.jpg"" title=""""/>
<img alt=""Фото авто DAF 95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//0/2/3/02397e0c533cbd970515ec690545b3d9_240x180.jpg"" title=""""/>
<img alt=""Фото авто DAF 95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//a/7/5/a75aedc17c7e5bc2878e62aaee46170c_240x180.jpg"" title=""""/>
<img alt=""Фото авто DAF 95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//2/e/1/2e1d7bb25c484ead37584b171dca7c57_240x180.jpg"" title=""""/>
<img alt=""Фото авто DAF 95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//a/2/d/a2dcd747736805df8a3d8bc46f432d0e_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
Renault Magnum,"$ 43 000
                                                                                                                             3 704 880 сом","<div class=""thumb-item-carousel"" data-count=""8"">
<img alt=""Фото авто Renault Magnum"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//7/9/c/79cba4a88e5d88cf1d552ba3ea0adb95_240x180.jpg"" title=""""/>
<img alt=""Фото авто Renault Magnum"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//f/1/b/f1b74fc703ec30ddcac0935007f4e877_240x180.jpg"" title=""""/>
<img alt=""Фото авто Renault Magnum"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//0/1/3/0133b5754487b2d8c8b39e52864c3051_240x180.jpg"" title=""""/>
<img alt=""Фото авто Renault Magnum"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//5/7/a/57a312c445da1c581a98b0a48dacef0a_240x180.jpg"" title=""""/>
<img alt=""Фото авто Renault Magnum"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//a/d/3/ad3339cdd9e4ff07fcc7a7204fecc2d5_240x180.jpg"" title=""""/>
<div class=""dealer-name dealer-url"" data-container=""body"" data-placement=""top"" data-toggle=""tooltip"" href=""/automall/"" title=""Бизнес аккаунт"">AUTOMALL</div> </div>"
Mercedes-Benz 4x2,"$ 55 000
                                                                                                                             4 738 800 сом","<div class=""thumb-item-carousel"" data-count=""5"">
<img alt=""Фото авто Mercedes-Benz 4x2"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//2/6/2/26228df3d5713d3a8bcab52e5a79a12b_240x180.jpg"" title=""""/>
<img alt=""Фото авто Mercedes-Benz 4x2"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//c/c/c/ccc13e7c9c4449c920f33c2c847ebf43_240x180.jpg"" title=""""/>
<img alt=""Фото авто Mercedes-Benz 4x2"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//2/2/0/22025a40fa9832050e5782a4931c22b3_240x180.jpg"" title=""""/>
<img alt=""Фото авто Mercedes-Benz 4x2"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//a/8/0/a800e7121f2aa8327753869e331bcc4b_240x180.jpg"" title=""""/>
<img alt=""Фото авто Mercedes-Benz 4x2"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//e/5/8/e58cf139149ae924a76c715610a38a86_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
MAN TGS,"$ 32 000
                                                                                                                             2 757 120 сом","<div class=""thumb-item-carousel"" data-count=""7"">
<img alt=""Фото авто MAN TGS"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//c/1/5/c15cc227478f73b99d75aab2f8d5036a_240x180.jpg"" title=""""/>
<img alt=""Фото авто MAN TGS"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//9/d/4/9d444e42544674b3b2d800776cf0c6d1_240x180.jpg"" title=""""/>
<img alt=""Фото авто MAN TGS"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//d/7/0/d70022549ae7d8b4dce4bc6e5e74f6e1_240x180.jpg"" title=""""/>
<img alt=""Фото авто MAN TGS"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//b/7/4/b74d0b359357e1160b0d89d6e804b69d_240x180.jpg"" title=""""/>
<img alt=""Фото авто MAN TGS"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//3/9/5/395daa9f760b47f680bffa78ab0138c3_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
Howo ZZ4187N3511V,"$ 31 000
                                                                                                                             2 670 960 сом","<div class=""thumb-item-carousel"" data-count=""3"">
<img alt=""Фото авто Howo ZZ4187N3511V"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//a/f/3/af34d50db15781ba6966773b2246b189_240x180.jpg"" title=""""/>
<img alt=""Фото авто Howo ZZ4187N3511V"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//c/e/a/ceafaa3531015ca43cd2812548882583_240x180.jpg"" title=""""/>
<img alt=""Фото авто Howo ZZ4187N3511V"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//f/0/9/f09047d0f4f710604c6bc33824b1f17a_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
MAN 48,"$ 28 000
                                                                                                                             2 412 480 сом","<div class=""thumb-item-carousel"" data-count=""1"">
<img alt=""Фото авто MAN 48"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//f/d/c/fdcc46b836fd4945b339eed75bb4cd92_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
MAN 48,"$ 25 000
                                                                                                                             2 154 000 сом","<div class=""thumb-item-carousel"" data-count=""2"">
<img alt=""Фото авто MAN 48"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//8/2/7/82741d61009e440f9724f991872fe444_240x180.jpg"" title=""""/>
<img alt=""Фото авто MAN 48"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//7/a/8/7a856c79a6947501156d4320ade70ab5_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
DAF 95 series,"$ 28 000
                                                                                                                             2 412 480 сом","<div class=""thumb-item-carousel"" data-count=""1"">
<img alt=""Фото авто DAF 95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//5/4/3/543498815427ea30c8319ffd88acbbff_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом","<div class=""thumb-item-carousel"" data-count=""2"">
<img alt=""Фото авто DAF 95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//f/4/b/f4befdff32b42d84c58bfe8e924d57b8_240x180.jpg"" title=""""/>
<img alt=""Фото авто DAF 95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//1/3/4/13469a41ae558d53e37fc17769995d4f_240x180.jpg"" title=""""/>
<div class=""dealer-placeholder""></div> </div>"
Volvo FH,"$ 27 000
                                                                                                                             2 326 320 сом",
DAF XF95 series,"$ 19 500
                                                                                                                             1 680 120 сом",
Volvo FH,"$ 80 000
                                                                                                                             6 892 800 сом",
Volvo FH,"$ 47 000
                                                                                                                             4 049 520 сом",
Howo ZZ4187N3511V,"$ 16 000
                                                                                                                             1 378 560 сом",
Volvo FH,"$ 62 000
                                                                                                                             5 341 920 сом",
DAF 95 series,"$ 18 500
                                                                                                                             1 593 960 сом",
Renault Magnum,"$ 43 000
                                                                                                                             3 704 880 сом",
Mercedes-Benz 4x2,"$ 55 000
                                                                                                                             4 738 800 сом",
MAN TGS,"$ 32 000
                                                                                                                             2 757 120 сом",
Howo ZZ4187N3511V,"$ 31 000
                                                                                                                             2 670 960 сом",
MAN 48,"$ 28 000
                                                                                                                             2 412 480 сом",
MAN 48,"$ 25 000
                                                                                                                             2 154 000 сом",
DAF 95 series,"$ 28 000
                                                                                                                             2 412 480 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
Volvo FH,"$ 27 000
                                                                                                                             2 326 320 сом",нет фото
DAF XF95 series,"$ 19 500
                                                                                                                             1 680 120 сом",нет фото
Volvo FH,"$ 80 000
                                                                                                                             6 892 800 сом",нет фото
Volvo FH,"$ 47 000
                                                                                                                             4 049 520 сом",нет фото
Howo ZZ4187N3511V,"$ 16 000
                                                                                                                             1 378 560 сом",нет фото
Volvo FH,"$ 62 000
                                                                                                                             5 341 920 сом",нет фото
DAF 95 series,"$ 18 500
                                                                                                                             1 593 960 сом",нет фото
Renault Magnum,"$ 43 000
                                                                                                                             3 704 880 сом",нет фото
Mercedes-Benz 4x2,"$ 55 000
                                                                                                                             4 738 800 сом",нет фото
MAN TGS,"$ 32 000
                                                                                                                             2 757 120 сом",нет фото
Howo ZZ4187N3511V,"$ 31 000
                                                                                                                             2 670 960 сом",нет фото
MAN 48,"$ 28 000
                                                                                                                             2 412 480 сом",нет фото
MAN 48,"$ 25 000
                                                                                                                             2 154 000 сом",нет фото
DAF 95 series,"$ 28 000
                                                                                                                             2 412 480 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",нет фото
Volvo FH,"$ 27 000
                                                                                                                             2 326 320 сом",нет фото
DAF XF95 series,"$ 19 500
                                                                                                                             1 680 120 сом",нет фото
Volvo FH,"$ 80 000
                                                                                                                             6 892 800 сом",нет фото
Volvo FH,"$ 47 000
                                                                                                                             4 049 520 сом",нет фото
Howo ZZ4187N3511V,"$ 16 000
                                                                                                                             1 378 560 сом",нет фото
Volvo FH,"$ 62 000
                                                                                                                             5 341 920 сом",нет фото
DAF 95 series,"$ 18 500
                                                                                                                             1 593 960 сом",нет фото
Renault Magnum,"$ 43 000
                                                                                                                             3 704 880 сом",нет фото
Mercedes-Benz 4x2,"$ 55 000
                                                                                                                             4 738 800 сом",нет фото
MAN TGS,"$ 32 000
                                                                                                                             2 757 120 сом",нет фото
Howo ZZ4187N3511V,"$ 31 000
                                                                                                                             2 670 960 сом",нет фото
MAN 48,"$ 28 000
                                                                                                                             2 412 480 сом",нет фото
MAN 48,"$ 25 000
                                                                                                                             2 154 000 сом",нет фото
DAF 95 series,"$ 28 000
                                                                                                                             2 412 480 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",нет фото
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом","<img alt=""Фото авто Renault Premium"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//0/5/8/058167155d402c34d17c707e6f712f44_240x180.jpg"" title=""""/>"
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом","<img alt=""Фото авто DAF 95 series"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//d/a/4/da4d1013fd704f6dcb8f07b1efc0586e_240x180.jpg"" title=""""/>"
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом","<img alt=""Фото авто Volvo FH"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//7/d/0/7d0d0ec5c4f1890f697ca73109a789ba_240x180.jpg"" title=""""/>"
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом","<img alt=""Фото авто MAN 26"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//8/4/9/84952160f5fccde6489298a818a3a269_240x180.jpg"" title=""""/>"
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом","<img alt=""Фото авто Scania R"" class=""lazy-image"" data-src=""https://im.mashina.kg/tachka/images//c/b/a/cbaf060a5707db2ebeeae56f117ce7e2_240x180.jpg"" title=""""/>"
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//0/5/8/058167155d402c34d17c707e6f712f44_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//d/a/4/da4d1013fd704f6dcb8f07b1efc0586e_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//7/d/0/7d0d0ec5c4f1890f697ca73109a789ba_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//8/4/9/84952160f5fccde6489298a818a3a269_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//c/b/a/cbaf060a5707db2ebeeae56f117ce7e2_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//0/5/8/058167155d402c34d17c707e6f712f44_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//d/a/4/da4d1013fd704f6dcb8f07b1efc0586e_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//7/d/0/7d0d0ec5c4f1890f697ca73109a789ba_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//8/4/9/84952160f5fccde6489298a818a3a269_240x180.jpg
DAF 95 series,"$ 30 000
                                                                                                                             2 584 800 сом",https://im.mashina.kg/tachka/images//c/b/a/cbaf060a5707db2ebeeae56f117ce7e2_240x180.jpg
